dateTime,authorName,Message
2022-12-20 20:14:33,mata purra,คลื่นลมแรงแล้วเอาเรือออกไปทำอะไร แล้วไม่มีเซฟตี้
2022-12-20 20:14:55,𝙊𝙫𝙚𝙧` 𝘿𝙤𝙨𝙚,ก่อนออกเดินทาง รู้สภาพอากาศ แต่ยังออกไป
2022-12-20 20:15:11,tawans,นายกตูบมีแต่เรื่องร้ายๆหาเรื่องดีๆแทบไม่มีเลยเฮ้ อออ
2022-12-20 20:15:12,mata purra,นำเรือออกไปทำอะไร ระหว่างคลื่นลมแรง
2022-12-20 20:15:18,TRWTS,เคยสงสัยเรือรบไทยมานาน เห็นแคบๆ ในที่สุดเรื่องที่เคยคิดก็เกืดแล้วจริงๆ
2022-12-20 20:15:25,Talukala Academy,เรือหลวงสุโขทัย ใช้ Diesel Engine ด้อยคุณภาพ เป็นสาเหตุหลักของอุบัติเหตุครั้งนี้ / กระบุรี ต้นกำเนิดคอคอดกระครับ...
2022-12-20 20:15:25,𝙊𝙫𝙚𝙧` 𝘿𝙤𝙨𝙚,กูเกลียดคำว่า ระเบียบ ระเบียบของพวกมิง มีมาตรฐานไหม
2022-12-20 20:15:30,แผ่นดิน ( ͡~ ͜ʖ ͡°),หาคนรับผิดชอบไม่ได้ อีกละมั้ง?
2022-12-20 20:15:38,siamwit theerasasawat,อาการแบบนี้มึงซ้อมการอพยพลูกเรือบ้างไหมเหมือนตะลีตะลานอพยพหนีตาย
2022-12-20 20:15:41,𝙊𝙫𝙚𝙧` 𝘿𝙤𝙨𝙚,ขั้นแรก ผบ.ทร. มืงลาออกก่อนเลย
2022-12-20 20:15:42,vs,ไอ้ที่ผิดเห็น คือความไม่พร้อม
2022-12-20 20:15:44,TRWTS,ประยุทธงง เง็ง ซุ่มอยู่
2022-12-20 20:15:47,คนช่างฝัน,งบประมาณที่ได้รับช่วยใช้ให้มันเกิดประโยชหน่อย
2022-12-20 20:15:57,นายขนมครก,ให้คนนอกเข้าไปสอบได้ไม่ครับ
2022-12-20 20:15:59,mata purra,พอเหอะเต็มความสามารถ
2022-12-20 20:16:10,คนเท่ากัน,ถ้าเป็นเรือประชาชนล้ม คงหมดความหวัง กองทัพยังเอาตัวเองไม่รอด
2022-12-20 20:16:11,ขอบคุณค่ะ🙏🏻,:eyes-purple-crying::eyes-purple-crying::eyes-purple-crying::eyes-purple-crying:
2022-12-20 20:16:12,Benjaporn Benjaporn,การแถลงข่าวคืิอการแก้ตัวเอาระเบียบหลักการมาพูด แต่ๆๆ ไม่ได้ทำจริง ประมาทสะเพร่า
2022-12-20 20:16:16,𝙊𝙫𝙚𝙧` 𝘿𝙤𝙨𝙚,ขายขี้หน้า ต่างประเทศ
2022-12-20 20:16:17,นายขนมครก,เพื่อความโปร่งใส
2022-12-20 20:16:18,บรู๊ค ลินน์ NY,มีลูกหลานคงไม่ให้เป็นทหารหรอก เสี่ยงตายทุกช็อต
2022-12-20 20:16:24,mata purra,ตอนแรกไม่ได้พูดอย่างนี้ ว่าไม่มีคนเสียชีวิต
2022-12-20 20:16:25,vs,ธรรมชาติเข้าใจได้
2022-12-20 20:16:32,Jasert BK,คลื่นลมแรง แล้วมึงส่งเรือออกทำไม
2022-12-20 20:16:33,TRWTS,ประยุทธ งง เง็งอยู่ เงอะๆ งะๆอยู่ๆๆ
2022-12-20 20:16:34,แผ่นดิน ( ͡~ ͜ʖ ͡°),ผบ.เรือสุโขทัย อยู่ที่ไหน? รอดมั้ย? 
2022-12-20 20:16:36,siamwit theerasasawat,ถ้าเป็นเรือดำน้ำมึงจะเอาอะไรไปรอด
2022-12-20 20:16:43,ชัยพร ศรีสุวรรณ,เรื่องแค่นี้ ยังเกิดความผิดพลาด ถ้าเป็นเรือดำน้ำ ตาย ยกลำ
2022-12-20 20:16:47,𝙊𝙫𝙚𝙧` 𝘿𝙤𝙨𝙚,รอดูคนอวย ทร.อีก
2022-12-20 20:17:03,บรู๊ค ลินน์ NY,คุณอ๊อฟ ทำหน้าที่ได้ดีมาก
2022-12-20 20:17:10,ปืนกําลังจะโหด,บอลไทย ถ่ายช่องไหนครับ
2022-12-20 20:17:11,คนเท่ากัน,กองทัพ ยุประยุทธ ไม่เคยรับผิดชอบอะไรเลย นอกจากแค่คำขอโทษ
2022-12-20 20:17:15,ดาวเนปจูน ข้อ(三)FAIYEN⛩️🔥,ซ่อมบำรุงตามวงรอบจริงป่าว
2022-12-20 20:17:15,𝙊𝙫𝙚𝙧` 𝘿𝙤𝙨𝙚,เหตุการณ์นี้เป็นตัวอย่างของ เรือดำน้ำจีน หากเครื่องมีปัญหา ขณะทำภารกิจ
2022-12-20 20:17:21,TRWTS,ประยุทธยังงงๆ เงอะๆงะๆ อยู่
2022-12-20 20:17:22,chawalit fongtong,รมต กลาโหม และ ผบทร ต้องรับผิดชอบโดยการลาออก
2022-12-20 20:17:24,vs,แต่กับคนที่เขาเป็นผู้สูญเสีย
2022-12-20 20:17:25,วายโซวะ,เพราะ ไม่มีประสบการณ์
2022-12-20 20:17:29,W.Winter,ไม่ได้ใช้ก็ไร้ความหมาย
2022-12-20 20:17:39,thunwa prakobsrikul,เรือสุโขทัย เป็นเรือรบ จึงแสดงศักยภาพ ดำน้ำลงไปค้นกาเรือดำน้ำ
2022-12-20 20:17:39,กาลเวลา,5พันล้านกลายเป็นปากการัง
2022-12-20 20:17:39,กฤษฤา เรืองอุไร,งบประมาณแต่ละปีกระทรวงกลาโหมได้มากสุด ไม่รู้ว่าเอาไปทำอะไรหมดแค่เสื้อชูชีพยังไม่พอกำลังพลเลยน่า สมเพสจริงๆ
2022-12-20 20:17:40,cha Love,ห่วงเรือดำน้ำจังเลย
2022-12-20 20:17:49,ศิษย์ฐิเวช มโนฤทธิ์,:hand-pink-waving:ต่อไปกรมอุตุ ต้องเตือนว่า เคลื่อนลมแรง เรือเล็ก และเรือรบไทยห้ามออกจากฝั่ง
2022-12-20 20:17:53,นายขนมครก,35 ปีตั้งแต่ผมยังไม่เกิดเลย คุณน้าเรือ
2022-12-20 20:17:58,Chorthip Kamlaingoen,ถ้าเรือดำน้ำที่ซื้อมามีเครื่องยนต์ คงพอช่วยได้บ้างเนอะ :grinning_face_with_smiling_eyes::grinning_face_with_smiling_eyes::grinning_face_with_smiling_eyes:
